Project ID,Project Name,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,CompletionYear
75180,BRG LAMONT HDFC.HPO.FY25,6/30/2025,6/30/2025,671869.0,91-31,LAMONT AVENUE,Queens,11373.0,4015680040.0,4039232.0,QN-04,25.0,467.0,QN0401,40.744069,-73.874149,40.7443,-73.874289,2025-06-30,Preservation,Yes,Non Prevailing Wage,1.0,34.0,44.0,3.0,,1.0,18.0,51.0,14.0,,,,,,83.0,,83.0,83,2025.0
76578,PUEBLO NUEVO.HUDMF.FY25,6/30/2025,6/30/2025,805337.0,210,STANTON STREET,Manhattan,10002.0,1003450048.0,1004151.0,MN-03,2.0,2201.0,MN0302,40.719598,-73.982363,40.720103,-73.982175,2025-06-30,Preservation,Yes,Non Prevailing Wage,139.0,19.0,12.0,1.0,,1.0,,78.0,72.0,22.0,,,,,172.0,,172.0,172,2025.0
73316,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,6/27/2025,6/27/2025,56818.0,1171,CLAY AVENUE,Bronx,10456.0,2024300043.0,2002159.0,BX-04,16.0,17701.0,BX0401,40.831669,-73.911023,40.831828,-73.911268,2025-06-27,Preservation,No,Non Prevailing Wage,,,,12.0,,,,,6.0,6.0,,,,,12.0,,12.0,12,2025.0
73316,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,6/27/2025,6/27/2025,56824.0,1183,CLAY AVENUE,Bronx,10456.0,2024300037.0,2002156.0,BX-04,16.0,17701.0,BX0401,40.831927,-73.910881,40.83216,-73.91108,2025-06-27,Preservation,No,Non Prevailing Wage,,,,12.0,,,,,6.0,6.0,,,,,12.0,,12.0,12,2025.0
73316,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,6/27/2025,6/27/2025,56832.0,1202,CLAY AVENUE,Bronx,10456.0,2024260059.0,2002082.0,BX-04,16.0,17701.0,BX0401,40.832377,-73.91061,40.832055,-73.910502,2025-06-27,Preservation,No,Non Prevailing Wage,,3.0,8.0,,,,,,11.0,,,,,,11.0,,11.0,11,2025.0
73316,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,6/27/2025,6/27/2025,81951.0,384,GRAND CONCOURSE,Bronx,10451.0,2023410055.0,2001008.0,BX-01,8.0,51.0,BX0101,40.816058,-73.928392,40.816165,-73.927969,2025-06-27,Preservation,No,Non Prevailing Wage,,7.0,19.0,,,,7.0,13.0,6.0,,,,,,26.0,,26.0,26,2025.0
73316,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,6/27/2025,6/27/2025,97336.0,1129,MORRIS AVENUE,Bronx,10456.0,2024490023.0,2002575.0,BX-04,16.0,18101.0,BX0401,40.83134,-73.915244,40.83145,-73.915522,2025-06-27,Preservation,No,Non Prevailing Wage,,2.0,3.0,,,,,,4.0,1.0,,,,,5.0,,5.0,5,2025.0
73316,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,6/27/2025,6/27/2025,107220.0,1038,ROGERS PLACE,Bronx,10459.0,2027000009.0,2005392.0,BX-02,17.0,131.0,BX0202,40.824464,-73.897761,40.82454,-73.897486,2025-06-27,Preservation,No,Non Prevailing Wage,,4.0,16.0,,,1.0,5.0,7.0,9.0,,,,,,21.0,,21.0,21,2025.0
76058,OCEAN PARK.YR15.FY25,5/6/2025,5/6/2025,631575.0,125,BEACH 17 STREET,Queens,11691.0,4156380001.0,4436178.0,QN-14,31.0,101004.0,QN1401,40.594254,-73.75121,40.594168,-73.752273,2025-05-06,Preservation,Yes,Non Prevailing Wage,,,300.0,,,1.0,,150.0,126.0,25.0,,,,,301.0,,301.0,301,2025.0
76058,OCEAN PARK.YR15.FY25,5/6/2025,5/6/2025,811186.0,120,BEACH 19 STREET,Queens,11691.0,4156380001.0,4436179.0,QN-14,31.0,101004.0,QN1401,40.593572,-73.753179,40.594168,-73.752273,2025-05-06,Preservation,Yes,Non Prevailing Wage,,,300.0,,,1.0,,150.0,126.0,25.0,,,,,301.0,,301.0,301,2025.0
75517,3044 ALBANY CRESCENT 1.HPO.FY25,4/10/2025,4/10/2025,44824.0,3044,ALBANY CRESCENT,Bronx,10463.0,2032660090.0,2016127.0,BX-08,14.0,277.0,BX0801,40.877233,-73.90365,40.877527,-73.90349,2025-04-10,Preservation,Yes,Non Prevailing Wage,1.0,8.0,25.0,2.0,,,,6.0,20.0,10.0,,,,,36.0,,36.0,36,2025.0
75994,UNION STREET HOUSES.HUDMF.FY25,4/8/2025,4/8/2025,383410.0,1678,UNION STREET,Brooklyn,11213.0,3014020021.0,3037761.0,BK-09,35.0,35102.0,BK0901,40.667904,-73.932841,40.667696,-73.932916,2025-04-08,Preservation,Yes,Non Prevailing Wage,14.0,4.0,,,2.0,,,8.0,6.0,6.0,,,,,20.0,,20.0,20,2025.0
75994,UNION STREET HOUSES.HUDMF.FY25,4/8/2025,4/8/2025,383415.0,1690,UNION STREET,Brooklyn,11213.0,3014020024.0,3037762.0,BK-09,35.0,35102.0,BK0901,40.667885,-73.93248,40.667682,-73.932614,2025-04-08,Preservation,Yes,Non Prevailing Wage,24.0,4.0,1.0,,1.0,1.0,,19.0,12.0,,,,,,31.0,,31.0,31,2025.0
75994,UNION STREET HOUSES.HUDMF.FY25,4/8/2025,4/8/2025,383419.0,1703,UNION STREET,Brooklyn,11213.0,3013960074.0,3037568.0,BK-09,35.0,35102.0,BK0901,40.667946,-73.933255,40.668141,-73.933323,2025-04-08,Preservation,Yes,Non Prevailing Wage,15.0,3.0,2.0,,,,,4.0,9.0,7.0,,,,,20.0,,20.0,20,2025.0
75994,UNION STREET HOUSES.HUDMF.FY25,4/8/2025,4/8/2025,383423.0,1715,UNION STREET,Brooklyn,11213.0,3013960070.0,3037567.0,BK-09,35.0,35102.0,BK0901,40.667924,-73.93288,40.668124,-73.933028,2025-04-08,Preservation,Yes,Non Prevailing Wage,16.0,4.0,,,,,,4.0,9.0,7.0,,,,,20.0,,20.0,20,2025.0
75994,UNION STREET HOUSES.HUDMF.FY25,4/8/2025,4/8/2025,383424.0,1719,UNION STREET,Brooklyn,11213.0,3013960068.0,3037566.0,BK-09,35.0,35102.0,BK0901,40.667918,-73.932754,40.668105,-73.93279,2025-04-08,Preservation,Yes,Non Prevailing Wage,8.0,3.0,,1.0,,,1.0,4.0,3.0,4.0,,,,,12.0,,12.0,12,2025.0
75994,UNION STREET HOUSES.HUDMF.FY25,4/8/2025,4/8/2025,383443.0,1751,UNION STREET,Brooklyn,11213.0,3013960047.0,3037557.0,BK-09,35.0,35102.0,BK0901,40.667863,-73.931756,40.668068,-73.931665,2025-04-08,Preservation,Yes,Non Prevailing Wage,14.0,2.0,,,,,,1.0,11.0,4.0,,,,,16.0,,16.0,16,2025.0
76728,131 CONCORD STREET APARTMENTS,3/12/2025,3/12/2025,1011483.0,131,CONCORD STREET,Brooklyn,11201.0,3001070048.0,3000000.0,BK-02,33.0,13.0,BK0202,40.697663,-73.986191,40.697929,-73.986231,2025-03-12,New Construction,No,Non Prevailing Wage,,,,,22.0,,4.0,7.0,11.0,,,,,,22.0,,22.0,73,2025.0
75047,3569 DEKALB CLUSTER. HPO.FY25,3/6/2025,3/6/2025,61064.0,3569,DEKALB AVENUE,Bronx,10467.0,2033290040.0,2017838.0,BX-07,11.0,43101.0,BX0703,40.884184,-73.878979,40.884319,-73.879192,2025-03-06,Preservation,Yes,Non Prevailing Wage,1.0,9.0,38.0,5.0,,1.0,2.0,32.0,19.0,1.0,,,,,54.0,,54.0,54,2025.0
76737,2112 AVE P APARTMENTS,3/3/2025,5/14/2025,1010158.0,2112,AVENUE P,Brooklyn,11229.0,3067840005.0,3182580.0,BK-15,48.0,550.0,BK1502,40.611012,-73.952343,40.610833,-73.952123,2025-05-14,New Construction,No,Non Prevailing Wage,,,,,15.0,,,1.0,14.0,,,,,,15.0,,15.0,47,2025.0
